,sample number,Components,AsFed,DM
0,27673290,Moisture,11.0,0
1,27673290,DryMatter,89.0,0
2,27673290,CrudeProtein,17.0,19.0
3,27673290,AdjustedCrudeProtein,17.0,19.0
4,27673290,SolubleProteinCP,0,13
5,27673290,ADF,24.5,27.5
6,27673290,aNDF,45.5,51.1
7,27673290,Lignin,7.3,8.2
8,27673290,NFC,7.4,8.3
9,27673290,CrudeFatEE,3.94,4.42
10,27673290,Ash,15.23,17.10
11,27673290,Calcium,3.45,3.88
12,27673290,Phosphorus,.88,.99
13,27673290,Magnesium,.89,1.00
14,27673290,Potassium,.63,.71
15,27673290,Sodium,.218,.245
16,27673290,PPMIron,915,1020
17,27673290,PPMZinc,457,513
18,27673290,PPMCopper,68,77
19,27673290,PPMManganese,412,463
20,27673290,PPMMolybdenum,6.7,7.5
21,27673290,Sulfur,.43,.49
