,sample number,Components,AsFed,DM
0,27673050,Moisture,8.4,0
1,27673050,DryMatter,91.6,0
2,27673050,CrudeProtein,14.1,15.4
3,27673050,AdjustedCrudeProtein,14.1,15.4
4,27673050,SolubleProteinCP,0,28
5,27673050,ADF,23.1,25.2
6,27673050,aNDF,38.9,42.5
7,27673050,Lignin,3.7,4.1
8,27673050,NFC,26.8,29.3
9,27673050,CrudeFatEE,4.40,4.81
10,27673050,Ash,7.37,8.05
11,27673050,TDN,63,68
12,27673050,NELMcalLb,.67,.73
13,27673050,NEMMcalLb,.65,.71
14,27673050,NEGMcalLb,.40,.44
15,27673050,Calcium,1.02,1.11
16,27673050,Phosphorus,.35,.39
17,27673050,Magnesium,.32,.34
18,27673050,Potassium,1.56,1.70
19,27673050,Sodium,.435,.475
20,27673050,PPMIron,286,312
21,27673050,PPMZinc,128,140
22,27673050,PPMCopper,14,15
23,27673050,PPMManganese,92,100
24,27673050,PPMMolybdenum,1.4,1.6
25,27673050,Sulfur,.58,.64
26,27673050,HorseDEMcalLb,1.19,1.30
