sequence,bname,fat,protein,lactose,solids,SCC,MUN,SNF,sample_number
1,81 D1AM,4.66,3.2,4.71,13.41,480.0,9.1,8.75,21993211
2,87 D1AM,6.46,4.23,4.58,16.25,84.0,11.6,9.79,21993211
3,95 D1AM,4.97,3.72,4.67,14.15,20.0,10.3,9.18,21993211
4,145 D1AM,4.14,3.94,4.72,13.79,13.0,10.0,9.65,21993211
5,154 D1AM,5.94,4.11,4.59,15.48,30.0,10.8,9.54,21993211
6,180 D1AM,4.42,3.28,4.68,13.26,657.0,8.8,8.84,21993211
7,192 D1AM,7.03,4.27,4.48,16.74,37.0,9.6,9.71,21993211
8,206 D1AM,3.71,3.54,4.9,13.17,24.0,10.7,9.46,21993211
9,211 D1AM,6.25,4.32,4.69,16.33,42.0,11.2,10.08,21993211
10,217 D1AM,5.9,4.28,4.77,15.97,83.0,10.9,10.07,21993211
11,227 D1AM,5.36,3.24,4.57,14.02,147.0,10.6,8.66,21993211
12,244 D1AM,5.41,4.31,4.58,15.24,50.0,12.1,9.83,21993211
13,246 D1AM,5.33,4.36,4.4,14.92,123.0,8.0,9.59,21993211
14,230 D1AM,4.38,3.39,4.52,12.89,151.0,9.3,8.51,21993211
15,255 D1AM,5.86,3.99,4.7,15.47,198.0,11.0,9.61,21993211
16,256 D1AM,6.95,4.17,4.8,16.87,48.0,12.5,9.92,21993211
17,257 D1AM,3.46,3.24,4.91,12.53,85.0,10.2,9.07,21993211
18,263 D1AM,5.67,4.06,4.86,15.60,37,8.00,9.93,21993211
19,81 D1PM,5.17,3.42,4.66,14.18,531,14.40,9.01,21993211
20,87 D1PM,6.56,4.23,4.58,16.33,58,13.30,9.77,21993211
21,95 D1PM,5.60,3.65,4.62,14.62,30,11.90,9.02,21993211
22,145 D1PM,6.13,3.95,4.73,15.79,25,11.50,9.66,21993211
23,154 D1PM,5.44,3.93,4.65,14.83,26,12.20,9.39,21993211
24,180 D1PM,5.05,3.35,4.63,13.92,1949,9.10,8.87,21993211
25,192 D1PM,5.75,3.99,4.59,15.33,50,14.70,9.58,21993211
26,206 D1PM,3.17,3.44,4.87,12.46,20,11.00,9.29,21993211
27,211 D1PM,6.04,4.31,4.73,16.14,43,12.70,10.1,21993211
28,217 D1PM,5.95,4.19,4.77,15.95,327,10.80,10.0,21993211
29,227 D1PM,-,-,-,-,-,-,0.0,21993211
30,230 D1PM,4.22,3.35,4.55,12.71,113,10.70,8.49,21993211
31,244 D1PM,5.05,4.27,4.66,14.94,39,14.20,9.89,21993211
32,246 D1PM,5.58,4.29,4.53,15.28,89,10.60,9.7,21993211
33,255 D1PM,5.96,3.94,4.71,15.49,173,13.10,9.53,21993211
34,256 D1PM,6.89,4.10,4.80,16.76,50,11.70,9.87,21993211
35,257 D1PM,5.34,3.29,4.81,14.43,184,18.40,9.09,21993211
36,263 D1PM,5.51,4.05,4.91,15.51,27,11.70,10.0,21993211
37,81 D2AM,4.90,3.36,4.63,13.76,290,8.50,8.86,21993211
38,87 D2AM,5.15,4.31,4.60,15.05,77,9.80,9.9,21993211
39,95 D2AM,4.78,3.70,4.67,13.92,28,8.60,9.14,21993211
40,145 D2AM,6.17,3.92,4.66,15.65,16,9.60,9.48,21993211
41,154 D2AM,6.22,4.04,4.65,15.77,35,11.10,9.55,21993211
42,180 D2AM,4.76,3.5,4.66,13.9,548.0,10.8,9.14,21993211
43,192 D2AM,5.84,4.19,4.55,15.55,38.0,8.9,9.71,21993211
44,206 D2AM,6.78,3.32,4.71,15.73,79.0,12.8,8.95,21993211
45,211 D2AM,6.13,4.35,4.79,16.38,127.0,11.1,10.25,21993211
46,217 D2AM,4.95,4.22,4.76,14.89,56.0,10.4,9.94,21993211
47,227 D2AM,3.83,3.24,4.57,12.52,97.0,8.8,8.69,21993211
48,230 D2AM,5.02,3.46,4.56,13.65,91.0,9.3,8.63,21993211
49,244 D2AM,5.25,4.38,4.53,15.06,44.0,11.8,9.81,21993211
50,246 D2AM,4.18,4.34,4.5,13.87,94.0,7.8,9.69,21993211
51,255 D2AM,5.51,3.92,4.67,14.94,529.0,12.0,9.43,21993211
52,256 D2AM,6.49,4.2,4.83,16.52,30.0,12.1,10.03,21993211
53,257 D2AM,4.81,3.11,4.8,13.56,148.0,6.7,8.75,21993211
54,263 D2AM,5.3,4.02,4.86,15.22,28.0,7.8,9.92,21993211
55,81 D2PM,4.92,3.23,4.62,13.6,358.0,8.2,8.68,21993211
56,87 D2PM,3.75,4.25,4.51,13.43,96.0,9.4,9.68,21993211
57,95 D2PM,5.55,3.59,4.62,14.51,22.0,9.6,8.96,21993211
58,145 D2PM,6.67,3.9,4.74,16.3,16.0,10.6,9.63,21993211
59,154 D2PM,6.87,3.93,4.55,16.13,30.0,12.0,9.26,21993211
60,180 D2PM,4.76,3.27,4.6,13.53,479.0,9.9,8.77,21993211
61,192 D2PM,5.57,4.2,4.54,15.28,30.0,9.0,9.71,21993211
62,206 D2PM,5.8,3.33,4.78,14.85,41.0,12.5,9.05,21993211
63,211 D2PM,5.67,4.28,4.74,15.71,34.0,10.8,10.04,21993211
64,217 D2PM,5.53,4.21,4.76,15.52,71.0,11.3,9.99,21993211
65,227 D2PM,4.44,3.22,4.61,13.17,138.0,8.9,8.73,21993211
66,230 D2PM,4.71,3.42,4.57,13.32,107.0,10.2,8.61,21993211
67,244 D2PM,5.27,4.23,4.56,14.97,41.0,11.4,9.7,21993211
68,246 D2PM,5.16,4.21,4.42,14.61,129.0,7.5,9.45,21993211
69,255 D2PM,5.92,3.9,4.74,15.43,231.0,12.9,9.51,21993211
70,256 D2PM,6.87,4.11,4.81,16.77,37.0,10.6,9.9,21993211
71,257 D2PM,6.06,2.99,4.83,14.72,166.0,9.4,8.66,21993211
72,263 D2PM,5.62,3.92,4.91,15.48,29.0,8.0,9.86,21993211
