,sample number,Components,AsFed,DM
0,27673040,Moisture,8.9,0
1,27673040,DryMatter,91.1,0
2,27673040,CrudeProtein,14.3,15.7
3,27673040,AdjustedCrudeProtein143,15.7,0
4,27673040,SolubleProteinCP,0,27
5,27673040,ADF,25.7,28.1
6,27673040,aNDF,44.4,48.7
7,27673040,Lignin,3.3,3.6
8,27673040,NFC,21.2,23.2
9,27673040,CrudeFatEE,4.86,5.34
10,27673040,Ash,6.40,7.02
11,27673040,TDN,63,69
12,27673040,NELMcalLb,.67,.74
13,27673040,NEMMcalLb,.66,.72
14,27673040,NEGMcalLb,.41,.45
15,27673040,Calcium,.77,.85
16,27673040,Phosphorus,.36,.40
17,27673040,Magnesium,.28,.31
18,27673040,Potassium,1.58,1.74
19,27673040,Sodium,.193,.212
20,27673040,PPMIron,167,183
21,27673040,PPMZinc,142,155
22,27673040,PPMCopper,14,15
23,27673040,PPMManganese,84,92
24,27673040,PPMMolybdenum,1.9,2.1
25,27673040,Sulfur,.22,.25
26,27673040,HorseDEMcalLb,1.11,1.22
