,sample number,Components,AsFed,DM
0,27673170,Moisture,10.2,0
1,27673170,DryMatter,89.8,0
2,27673170,CrudeProtein,17.8,19.9
3,27673170,AdjustedCrudeProtein178,19.9,0
4,27673170,SolubleProteinCP,0,12
5,27673170,ADF,4.1,4.5
6,27673170,aNDF,10.0,11.2
7,27673170,Lignin,1.1,1.2
8,27673170,NFC,48.8,54.3
9,27673170,CrudeFatEE,5.70,6.35
10,27673170,Ash,7.45,8.29
11,27673170,TDN,75,84
12,27673170,NELMcalLb,.82,.91
13,27673170,NEMMcalLb,.86,.96
14,27673170,NEGMcalLb,.59,.66
15,27673170,Calcium,1.20,1.33
16,27673170,Phosphorus,.61,.68
17,27673170,Magnesium,.55,.62
18,27673170,Potassium,.87,.97
19,27673170,Sodium,.467,.520
20,27673170,PPMIron,386,430
21,27673170,PPMZinc,52,58
22,27673170,PPMCopper,5,5
23,27673170,PPMManganese,33,36
24,27673170,PPMMolybdenum,1.6,1.7
25,27673170,Sulfur,.29,.33
26,27673170,HorseDEMcalLb,1.43,1.59
