,sample number,Components,AsFed,DM
0,27673230,Moisture,13.9,0
1,27673230,DryMatter,86.1,0
2,27673230,CrudeProtein,11.2,13.0
3,27673230,AdjustedCrudeProtein112,13.0,0
4,27673230,SolubleProteinCP,0,22
5,27673230,ADF,6.8,7.9
6,27673230,aNDF,33.3,38.6
7,27673230,Lignin,1.9,2.3
8,27673230,NFC,6.6,7.7
9,27673230,CrudeFatEE,2.12,2.47
10,27673230,Ash,32.92,38.25
11,27673230,TDN,34,40
12,27673230,NELMcalLb,.34,.40
13,27673230,NEMMcalLb,.22,.26
14,27673230,NEGMcalLb,.02,.02
15,27673230,Calcium,3.67,4.27
16,27673230,Phosphorus,.20,.24
17,27673230,Magnesium,.81,.95
18,27673230,Potassium,2.10,2.44
19,27673230,Sodium,3.809,4.425
20,27673230,PPMIron,1510,1750
21,27673230,PPMZinc,46,53
22,27673230,PPMCopper,1,1
23,27673230,PPMManganese,87,101
24,27673230,PPMMolybdenum,.7,.8
25,27673230,Sulfur,4.74,5.51
