,sample number,Components,AsFed,DM
0,27673300,Moisture,10.9,0
1,27673300,DryMatter,89.1,0
2,27673300,CrudeProtein,17.6,19.8
3,27673300,AdjustedCrudeProtein176,19.8,0
4,27673300,SolubleProteinCP,0,15
5,27673300,ADF,22.8,25.6
6,27673300,aNDF,42.8,48.0
7,27673300,Lignin,7.7,8.6
8,27673300,NFC,5.8,6.5
9,27673300,CrudeFatEE,4.65,5.22
10,27673300,Ash,18.19,20.42
11,27673300,Calcium,4.19,4.71
12,27673300,Phosphorus,.98,1.10
13,27673300,Magnesium,.99,1.11
14,27673300,Potassium,.60,.67
15,27673300,Sodium,.343,.385
16,27673300,PPMIron,1120,1260
17,27673300,PPMZinc,497,558
18,27673300,PPMCopper,76,86
19,27673300,PPMManganese,426,479
20,27673300,PPMMolybdenum,7.1,8.0
21,27673300,Sulfur,.90,1.01
