,sample number,Components,AsFed,DM
0,28802450,Moisture,16.9,0
1,28802450,DryMatter,83.1,0
2,28802450,CrudeProtein,12.6,15.2
3,28802450,AvailableProtein,8.9,10.7
4,28802450,ADICP,3.8,4.5
5,28802450,AdjustedCrudeProtein97,11.7,0
6,28802450,SolubleProteinCP,0,18
7,28802450,NDICP,6.7,8.0
8,28802450,ADF,17.7,21.3
9,28802450,aNDFom,18.9,22.7
10,28802450,Lignin,12.1,14.5
11,28802450,NFC,23.0,27.7
12,28802450,Starch,.3,.3
13,28802450,ESCSimpleSugars,1.4,1.6
14,28802450,CrudeFatEE,.91,1.10
15,28802450,TotalFattyAcids,1.52,1.83
16,28802450,RUFAL,.42,.50
17,28802450,Ash,27.70,33.34
18,28802450,TDN,35,42
19,28802450,NELMcalLb,.34,.41
20,28802450,NEMMcalLb,.24,.29
21,28802450,NEGMcalLb,.04,.05
22,28802450,Calcium,.86,1.03
23,28802450,Phosphorus,.44,.53
24,28802450,Magnesium,.62,.74
25,28802450,Potassium,7.36,8.86
26,28802450,Sodium,3.117,3.751
27,28802450,PPMIron,882,1060
28,28802450,PPMZinc,20,24
29,28802450,PPMCopper,2,3
30,28802450,PPMManganese,15,18
31,28802450,PPMMolybdenum,0.1,0.1
32,28802450,Sulfur,.94,1.13
33,28802450,ChlorideIon,9.41,11.32
34,28802450,DCADmEq100g,0,0
35,28802450,ppmIodineTotal,207.27,249.45
