,sample number,date sampled,date received,date mailed,statement id,kind,description,Fatty Acid,Carbon,Percent of Total Fatty Acids,Percent of Dry Matter
0,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Lauric,C12:0,0.11,0.0
1,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Myristic,C14:0,3.81,0.08
2,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Palmitic,C16:0,47.5,0.93
3,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Palmitoleic,C16:1,0.76,0.01
4,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Stearic,C18:0,0.96,0.02
5,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Oleic,C18:1,15.11,0.29
6,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Linoleic,C18:2,3.97,0.08
7,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Linolenic,C18:3,0.88,0.02
8,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Arachidic,C20:0,0.42,0.01
9,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Gadoleic,C20:1,0.11,0.0
10,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Eicosapentaenoic (EPA),C20:5,0.32,0.01
11,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Behenic,C22:0,0.0,0.0
12,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Docosahexanoic (DHA),C22:6,0.0,0.0
13,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Lignoceric,C24:0,0.12,0.0
14,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Other,0,25.94,0.5
15,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Total Fatty Acids,0,100.0,1.93
16,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,Saturated,0,52.92,0
17,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,MUFA,0,15.98,0
18,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,PUFA,0,5.17,0
19,28923430,0001-01-01,2022-11-08,2022-11-22,0,"MISC., Protein Wet",SEAWEED,RUFAL,0,0,0.38
