,sample number,Components,AsFed,DM
0,27672970,Moisture,9.4,0
1,27672970,DryMatter,90.6,0
2,27672970,CrudeProtein,13.5,14.9
3,27672970,AdjustedCrudeProtein,13.5,14.9
4,27672970,SolubleProteinCP,0,29
5,27672970,ADF,22.0,24.2
6,27672970,aNDF,37.1,40.9
7,27672970,Lignin,3.1,3.4
8,27672970,NFC,26.3,29.0
9,27672970,CrudeFatEE,5.37,5.93
10,27672970,Ash,8.41,9.29
11,27672970,TDN,64,70
12,27672970,NELMcalLb,.68,.75
13,27672970,NEMMcalLb,.68,.75
14,27672970,NEGMcalLb,.43,.47
15,27672970,Calcium,1.11,1.22
16,27672970,Phosphorus,.36,.40
17,27672970,Magnesium,.32,.35
18,27672970,Potassium,1.39,1.53
19,27672970,Sodium,.546,.602
20,27672970,PPMIron,202,223
21,27672970,PPMZinc,164,181
22,27672970,PPMCopper,14,15
23,27672970,PPMManganese,233,257
24,27672970,PPMMolybdenum,2.4,2.7
25,27672970,Sulfur,.42,.47
26,27672970,HorseDEMcalLb,1.20,1.32
