,sample number,Components,AsFed,DM
0,27673260,Moisture,9.1,0
1,27673260,DryMatter,91.0,0
2,27673260,CrudeProtein,17.3,19.0
3,27673260,AdjustedCrudeProtein,17.3,19.0
4,27673260,SolubleProteinCP,0,10
5,27673260,ADF,6.5,7.2
6,27673260,aNDF,16.2,17.8
7,27673260,Lignin,1.4,1.6
8,27673260,NFC,44.9,49.4
9,27673260,CrudeFatEE,3.90,4.29
10,27673260,Ash,8.59,9.45
11,27673260,TDN,71,78
12,27673260,NELMcalLb,.75,.83
13,27673260,NEMMcalLb,.78,.86
14,27673260,NEGMcalLb,.52,.57
15,27673260,Calcium,1.27,1.40
16,27673260,Phosphorus,.50,.55
17,27673260,Magnesium,.53,.59
18,27673260,Potassium,.88,.97
19,27673260,Sodium,.812,.893
20,27673260,PPMIron,428,471
21,27673260,PPMZinc,167,183
22,27673260,PPMCopper,19,21
23,27673260,PPMManganese,129,141
24,27673260,PPMMolybdenum,1.6,1.7
25,27673260,Sulfur,.27,.30
26,27673260,HorseDEMcalLb,1.32,1.45
