,sample number,Components,AsFed,DM
0,27673430,Moisture,11.7,0
1,27673430,DryMatter,88.3,0
2,27673430,CrudeProtein,16.8,19.0
3,27673430,AdjustedCrudeProtein168,19.0,0
4,27673430,SolubleProteinCP,0,21
5,27673430,ADF,24.3,27.6
6,27673430,aNDF,46.5,52.6
7,27673430,Lignin,7.7,8.7
8,27673430,NFC,5.5,6.2
9,27673430,CrudeFatEE,3.54,4.01
10,27673430,Ash,16.05,18.17
11,27673430,Calcium,3.33,3.77
12,27673430,Phosphorus,.78,.88
13,27673430,Magnesium,.94,1.07
14,27673430,Potassium,.64,.72
15,27673430,Sodium,.447,.506
16,27673430,PPMIron,922,1040
17,27673430,PPMZinc,421,477
18,27673430,PPMCopper,62,70
19,27673430,PPMManganese,327,370
20,27673430,PPMMolybdenum,6.4,7.3
21,27673430,Sulfur,.57,.65
