,sample number,Components,AsFed,DM
0,27673030,Moisture,9.2,0
1,27673030,DryMatter,90.8,0
2,27673030,CrudeProtein,13.3,14.7
3,27673030,AdjustedCrudeProtein,13.3,14.7
4,27673030,SolubleProteinCP,0,25
5,27673030,ADF,22.5,24.8
6,27673030,aNDF,36.5,40.2
7,27673030,Lignin,3.4,3.8
8,27673030,NFC,26.8,29.5
9,27673030,CrudeFatEE,4.20,4.63
10,27673030,Ash,10.00,11.01
11,27673030,TDN,60,66
12,27673030,NELMcalLb,.64,.70
13,27673030,NEMMcalLb,.62,.69
14,27673030,NEGMcalLb,.38,.42
15,27673030,Calcium,1.06,1.17
16,27673030,Phosphorus,.34,.37
17,27673030,Magnesium,.34,.37
18,27673030,Potassium,1.48,1.63
19,27673030,Sodium,.572,.630
20,27673030,PPMIron,320,353
21,27673030,PPMZinc,234,257
22,27673030,PPMCopper,31,34
23,27673030,PPMManganese,157,173
24,27673030,PPMMolybdenum,2.2,2.5
25,27673030,Sulfur,.70,.77
26,27673030,HorseDEMcalLb,1.20,1.33
