,sample number,Components,AsFed,DM
0,27673370,Moisture,10.8,0
1,27673370,DryMatter,89.2,0
2,27673370,CrudeProtein,16.8,18.8
3,27673370,AdjustedCrudeProtein,16.8,18.8
4,27673370,SolubleProteinCP,0,24
5,27673370,ADF,24.3,27.3
6,27673370,aNDF,45.3,50.8
7,27673370,Lignin,7.5,8.5
8,27673370,NFC,6.8,7.7
9,27673370,CrudeFatEE,4.05,4.54
10,27673370,Ash,16.20,18.17
11,27673370,Calcium,3.36,3.77
12,27673370,Phosphorus,.88,.99
13,27673370,Magnesium,.94,1.06
14,27673370,Potassium,.66,.74
15,27673370,Sodium,.171,.192
16,27673370,PPMIron,976,1090
17,27673370,PPMZinc,578,647
18,27673370,PPMCopper,87,98
19,27673370,PPMManganese,441,494
20,27673370,PPMMolybdenum,6.7,7.5
21,27673370,Sulfur,.83,.93
